longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,Localidad
-74.0271706740662,4.69091101173575,6.0,3.0,387.0,23.0,3.0,4.0,2200000.0,5.0,17000000.0,USAQUEN
-74.0705108,4.6048102,4.0,2.0,65.0,4.0,2.0,1.0,0.0,12.0,2800000.0,SANTA FE
-74.045691,4.7760032,4.0,2.0,90.0,0.0,3.0,1.0,300000.0,5.0,3100000.0,SUBA
-74.0631921,4.6729383,5.0,2.0,130.0,31.0,3.0,0.0,500000.0,2.0,2800000.0,BARRIOS UNIDOS
-74.0491065,4.6922848,6.0,3.0,108.63,12.0,3.0,2.0,0.0,7.0,6716000.0,USAQUEN
-74.0360082,4.7534704,4.0,1.0,40.0,0.0,2.0,0.0,0.0,4.0,1600000.0,USAQUEN
-74.0697252,4.6060537,4.0,2.0,45.0,4.0,1.0,1.0,0.0,0.0,2990000.0,SANTA FE
-74.0691423,4.7411288,4.0,1.0,36.0,4.0,2.0,0.0,0.0,5.0,1800000.0,SUBA
-74.050340652466,4.6706169993028,6.0,4.0,272.0,4.0,3.0,3.0,2200000.0,0.0,20416000.0,CHAPINERO
-74.043943,4.7222936,5.0,3.0,129.0,12.0,2.0,2.0,0.0,2.0,4200000.0,USAQUEN
-74.1159384,4.6473715,3.0,1.0,42.0,0.0,2.0,0.0,0.0,5.0,1550000.0,FONTIBON
-74.0431205,4.6687222,6.0,5.0,387.0,12.0,4.0,4.0,2200000.0,10.0,18200000.0,CHAPINERO
-74.1609174,4.5970606,3.0,1.0,42.0,4.0,2.0,0.0,145000.0,9.0,1050000.0,BOSA
-74.0476751,4.6893705,6.0,2.0,70.0,23.0,2.0,1.0,250000.0,0.0,2750000.0,USAQUEN
-74.1057625,4.6951025,3.0,1.0,53.0,23.0,3.0,0.0,284000.0,0.0,1066000.0,ENGATIVA
-74.0492104,4.6728605,6.0,4.0,130.39,31.0,3.0,2.0,0.0,4.0,8000000.0,CHAPINERO
-74.0514058,4.6799727,6.0,3.0,108.0,0.0,3.0,2.0,1400000.0,3.0,3500000.0,CHAPINERO
-74.0693725,4.7053555,5.0,3.0,97.55,23.0,3.0,2.0,0.0,9.0,4300000.0,SUBA
-74.0836547,4.6534109,6.0,4.0,204.0,4.0,5.0,4.0,2043000.0,6.0,8000000.0,BARRIOS UNIDOS
-74.1202004,4.6745063,3.0,1.0,46.0,4.0,1.0,0.0,0.0,0.0,1600000.0,FONTIBON
-74.032959938049,4.7531209146354,3.0,1.0,41.0,0.0,2.0,0.0,160000.0,5.0,1500000.0,USAQUEN
-74.047741,4.6882663,6.0,2.0,130.0,23.0,2.0,1.0,0.0,0.0,3500000.0,USAQUEN
-74.049439430237,4.6781022053271,6.0,2.0,46.0,4.0,1.0,1.0,0.0,6.0,4699437.0,CHAPINERO
-74.056555056869,4.674445794943,6.0,4.0,277.0,12.0,3.0,4.0,2150000.0,2.0,18350000.0,CHAPINERO
-74.050048968766,4.6549881198717,6.0,4.0,210.0,12.0,3.0,0.0,0.0,5.0,12000000.0,CHAPINERO
-74.027333,4.749426,3.0,1.0,35.0,4.0,1.0,0.0,176600.0,18.0,1400000.0,USAQUEN
-74.0684992,4.6085572,3.0,1.0,35.0,4.0,1.0,1.0,0.0,9.0,2500000.0,SANTA FE
-74.1756085,4.6293009,3.0,1.0,52.0,4.0,2.0,0.0,0.0,4.0,950000.0,KENNEDY
-74.060516446426,4.6273662957811,5.0,3.0,82.0,23.0,2.0,2.0,829000.0,8.0,3600000.0,CHAPINERO
-74.027156258946,4.702688318073,5.0,4.0,130.0,23.0,2.0,2.0,0.0,12.0,7300000.0,USAQUEN
-74.1648755,4.6948804,3.0,1.0,45.95,0.0,2.0,0.0,0.0,12.0,1200000.0,FONTIBON
-74.139550036816,4.6465099950538,2.0,1.0,37.0,23.0,2.0,0.0,107400.0,3.0,1250000.0,KENNEDY
-74.02410097416,4.7231249519524,6.0,3.0,130.0,23.0,2.0,1.0,0.0,3.0,6500000.0,USAQUEN
-74.1202004,4.6745063,3.0,1.0,46.0,4.0,1.0,0.0,0.0,0.0,1600000.0,FONTIBON
-74.041021,4.696216,5.0,3.0,123.0,23.0,3.0,2.0,780000.0,0.0,4200000.0,USAQUEN
-74.065566,4.630942,4.0,1.0,46.0,12.0,1.0,0.0,250000.0,0.0,1750000.0,CHAPINERO
-74.0785358,4.6179627,2.0,1.0,20.0,4.0,1.0,0.0,0.0,2.0,1500000.0,LOS MARTIRES
-74.0641602,4.7435093,4.0,2.0,105.0,12.0,3.0,1.0,0.0,6.0,3400000.0,SUBA
-74.0621682,4.7248199,5.0,4.0,216.0,23.0,3.0,2.0,0.0,7.0,11000000.0,SUBA
-74.1330569,4.6612651,4.0,3.0,90.0,12.0,3.0,1.0,0.0,0.0,3300000.0,FONTIBON
